Numero;Intitule
420-W10-SF;Introduction à la programmation
420-W12-SF;Système d'exploitation
420-W14-SF;Perspectives professionnelles en TI
420-W15-SF;Programmation Web I
201-423-SF;Mathématiques pour l'informaticien I
420-W20-SF;Programmation objet I
420-W23-SF;Base de données relationnelles
420-W33-SF;Réseaux
201-424-SF;Mathématiques pour l'informaticien II
420-W30-SF;Programmation objet II
420-W31-SF;Algorithmique avancée
420-W34-SF;Base de données avancées
420-W35-SF;Conception d'applications et méthodes agiles
420-W44-SF;Infrastructure technologique et virtualisation
420-W45-SF;Installation de serveurs et des services
420-W46-SF;Applications Web et bases de données
420-W47-SF;Développement de services d'échange de données
420-W48-SF;Applications mobiles et objets connectés
420-W54-SF;Innovation et veille technologique
420-W55-SF;Enjeux en cybersécurité
360-W56-SF;Interactions professionnelles à l'ère numérique
420-W57-SF;Projet synthèse en contexte TI diversifié
420-W62-SF;Stage - Interactions professionnelles
420-W63-SF;Stage - Développement en entreprise
420-BD1-SF;Initiation à la fonction de travail
420-BD2-SF;Concepts et modèles d'affaires de gestion des mégadonnées
420-BD3-SF;Mise en place d'un environnement matériel et logiciel et initiation au traitement des mégadonnées
420-BD5-SF;Intelligence d'affaires et gestion des entrepôts de données
420-BD4-SF;Acquisition, ingestion et gestion des données
420-BD6-SF;Traitement des mégadonnées
420-BD7-SF;Visualisation et prise de décision
420-BD8-SF;Fouille de données (data mining)
420-DN1-SF;Introduction à la sécurité informatique
420-DN2-SF;Détails de fonctionnement des systèmes d'exploitation
420-DN3-SF;Les menaces informatiques
420-DN4-SF;Sécurisation des appareils
420-DN5-SF;Gestion des identités et des accès
420-DN6-SF;Cryptographie et VPN
040-007-01;ATELIER DE TRAVAUX PRATIQUES
042-070-02;MISE À NIVEAU ALGORITHMIE 1
042-070-07;MISE À NIVEAU BASE DE DONNÉES
042-070-08;MISE À NIVEAU PROGRAMMATION OBJET II
